ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,size
ema_word-list_1962_01_wav,ema_word-list_1962_01.wav,"44.1 K, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/EMA/ema_word-list_1962_01.wav,,27025206
ema_word-list_1962_01_mp3,ema_word-list_1962_01.mp3,56 kpbs,audio/mpeg,http://archive.phonetics.ucla.edu/Language/EMA/ema_word-list_1962_01.mp3,,2146432
ema_word-list_1962_01_jpg,ema_word-list_1962_01.jpg,300 dpi,image/jpeg,http://archive.phonetics.ucla.edu/Language/EMA/ema_word-list_1962_01.jpg,,80993
ema_word-list_1962_01_tif,ema_word-list_1962_01.tif,300 dpi,image/tiff,http://archive.phonetics.ucla.edu/Language/EMA/ema_word-list_1962_01.tif,,165478
eng_word-list_1964_01_wav,eng_word-list_1964_01.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1964_01.wav,,29988968
eng_word-list_1964_01_mp3,eng_word-list_1964_01.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1964_01.mp3,,5441084
eng_word-list_1964_01_jpg,eng_word-list_1964_01.jpg,300 dpi,image/jpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1964_01.jpg,,1074192
eng_word-list_1964_01_tif,eng_word-list_1964_01.tif,300 dpi,image/tiff,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1964_01.tif,,7166204
eng_word-list_1964_02_jpg,eng_word-list_1964_02.jpg,300 dpi,image/jpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1964_02.jpg,,2999735
eng_word-list_1964_02_tif,eng_word-list_1964_02.tif,300 dpi,image/tiff,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1964_02.tif,,44184696
eng_word-list_1966_01_wav,eng_word-list_1966_01.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_01.wav,,14093084
eng_word-list_1966_01_mp3,eng_word-list_1966_01.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_01.mp3,,2557584
eng_word-list_1966_01_jpg,eng_word-list_1966_01.jpg,300 dpi,image/jpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_01.jpg,,1844973
eng_word-list_1966_01_tif,eng_word-list_1966_01.tif,300 dpi,image/tiff,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_01.tif,,33984448
eng_word-list_1966_02_wav,eng_word-list_1966_02.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_02.wav,,16295934
eng_word-list_1966_02_mp3,eng_word-list_1966_02.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_02.mp3,,2957153
eng_word-list_1966_02_jpg,eng_word-list_1966_02.jpg,300 dpi,image/jpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_02.jpg,,1313654
eng_word-list_1966_02_tif,eng_word-list_1966_02.tif,300 dpi,image/tiff,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_02.tif,,13325084
eng_word-list_1966_03_jpg,eng_word-list_1966_03.jpg,300 dpi,image/jpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_03.jpg,,7941850
eng_word-list_1966_03_tif,eng_word-list_1966_03.tif,300 dpi,image/tiff,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1966_03.tif,,47356284
eng_word-list_1976_01_wav,eng_word-list_1976_01.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_01.wav,,5529644
eng_word-list_1976_01_mp3,eng_word-list_1976_01.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_01.mp3,,1004029
eng_word-list_1976_02_wav,eng_word-list_1976_02.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_02.wav,,10469228
eng_word-list_1976_02_mp3,eng_word-list_1976_02.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_02.mp3,,1900134
eng_word-list_1976_02_jpg,eng_word-list_1976_02.jpg,300 dpi,image/jpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_02.jpg,,228896
eng_word-list_1976_02_tif,eng_word-list_1976_02.tif,300 dpi,image/tiff,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_02.tif,,1491412
eng_word-list_1976_03_wav,eng_word-list_1976_03.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_03.wav,,7222408
eng_word-list_1976_03_mp3,eng_word-list_1976_03.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_03.mp3,,1311229
eng_word-list_1976_04_wav,eng_word-list_1976_04.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_04.wav,,6394924
eng_word-list_1976_04_mp3,eng_word-list_1976_04.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_04.mp3,,1161182
eng_word-list_1976_05_wav,eng_word-list_1976_05.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_05.wav,,5503908
eng_word-list_1976_05_mp3,eng_word-list_1976_05.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_05.mp3,,999432
eng_word-list_1976_06_wav,eng_word-list_1976_06.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_06.wav,,6022188
eng_word-list_1976_06_mp3,eng_word-list_1976_06.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_06.mp3,,1093473
eng_word-list_1976_07_wav,eng_word-list_1976_07.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_07.wav,,7310072
eng_word-list_1976_07_mp3,eng_word-list_1976_07.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_07.mp3,,1327112
eng_word-list_1976_08_wav,eng_word-list_1976_08.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_08.wav,,5750950
eng_word-list_1976_08_mp3,eng_word-list_1976_08.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_08.mp3,,1044154
eng_word-list_1976_09_wav,eng_word-list_1976_09.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_09.wav,,4922560
eng_word-list_1976_09_mp3,eng_word-list_1976_09.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_09.mp3,,894106
eng_word-list_1976_10_wav,eng_word-list_1976_10.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_10.wav,,6161452
eng_word-list_1976_10_mp3,eng_word-list_1976_10.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_10.mp3,,1118550
eng_word-list_1976_11_wav,eng_word-list_1976_11.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_11.wav,,9048706
eng_word-list_1976_11_mp3,eng_word-list_1976_11.mp3,56 kbps,audio/mpeg,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_11.mp3,,1642253
eng_word-list_1976_12_wav,eng_word-list_1976_12.wav,"44.1 kHz, 16-bit sound depth (bit rate=705 kbps)",audio/x-wav,http://archive.phonetics.ucla.edu/Language/ENG/eng_word-list_1976_12.wav,,5742954
